species,x,y
Solanum elaeagnifolium,138.5908204,-34.9823364
Solanum elaeagnifolium,138.5908204,-34.9823364
Solanum elaeagnifolium,138.5908204,-34.9823364
Solanum elaeagnifolium,138.519991,-34.97650693
Solanum elaeagnifolium,139.0855351,-34.95150227
Solanum elaeagnifolium,138.58368,-34.94506
Solanum elaeagnifolium,138.58361,-34.94500003
Solanum elaeagnifolium,138.58361,-34.94500003
Solanum elaeagnifolium,138.5991597,-34.92844602
Solanum elaeagnifolium,138.5991597,-34.92844602
Solanum elaeagnifolium,138.5991597,-34.92844602
Solanum elaeagnifolium,138.5991597,-34.92844602
Solanum elaeagnifolium,138.5991597,-34.92844602
Solanum elaeagnifolium,138.6422,-34.92145
Solanum elaeagnifolium,138.64222,-34.92139003
Solanum elaeagnifolium,148.17,-34.92
Solanum elaeagnifolium,138.5952695,-34.90678593
Solanum elaeagnifolium,138.5952695,-34.90678593
Solanum elaeagnifolium,138.5952695,-34.90678593
Solanum elaeagnifolium,138.5952695,-34.90678593
Solanum elaeagnifolium,138.71061,-34.90338
Solanum elaeagnifolium,138.63333,-34.9
Solanum elaeagnifolium,138.629429,-34.89761561
Solanum elaeagnifolium,138.71825,-34.89433
Solanum elaeagnifolium,138.6388787,-34.87955543
Solanum elaeagnifolium,147.57,-34.87
Solanum elaeagnifolium,147.57,-34.87
Solanum elaeagnifolium,147.57,-34.87
Solanum elaeagnifolium,147.57,-34.87
Solanum elaeagnifolium,147.57,-34.87
Solanum elaeagnifolium,147.57,-34.87
Solanum elaeagnifolium,147.57,-34.87
Solanum elaeagnifolium,147.57,-34.87
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.584326,-34.86532712
Solanum elaeagnifolium,147.58455,-34.86512003
Solanum elaeagnifolium,138.6763781,-34.86066502
Solanum elaeagnifolium,147.5806,-34.8583
Solanum elaeagnifolium,147.5805,-34.8583
Solanum elaeagnifolium,147.5806,-34.8583
Solanum elaeagnifolium,147.5805,-34.8583
Solanum elaeagnifolium,147.5806,-34.8583
Solanum elaeagnifolium,147.5806,-34.8583
Solanum elaeagnifolium,147.5805,-34.8583
Solanum elaeagnifolium,147.5805,-34.8583
Solanum elaeagnifolium,147.5806,-34.8583
Solanum elaeagnifolium,138.6122087,-34.85650551
Solanum elaeagnifolium,138.6122087,-34.85650551
Solanum elaeagnifolium,138.6122087,-34.85650551
Solanum elaeagnifolium,138.61667,-34.85
Solanum elaeagnifolium,138.73333,-34.85
Solanum elaeagnifolium,138.62,-34.85
Solanum elaeagnifolium,138.73817,-34.83905
Solanum elaeagnifolium,138.4977696,-34.83678632
Solanum elaeagnifolium,138.7,-34.83333
Solanum elaeagnifolium,138.6872077,-34.83289478
Solanum elaeagnifolium,138.90819,-34.8259
Solanum elaeagnifolium,138.61639,-34.82389003
Solanum elaeagnifolium,138.61639,-34.82389003
Solanum elaeagnifolium,138.7316571,-34.82372438
Solanum elaeagnifolium,138.68333,-34.81667
Solanum elaeagnifolium,138.59611,-34.81306003
Solanum elaeagnifolium,140.6457973,-34.80842918
Solanum elaeagnifolium,138.90539,-34.80642
Solanum elaeagnifolium,138.60583,-34.80306
Solanum elaeagnifolium,138.6266579,-34.8028951
Solanum elaeagnifolium,147.6,-34.8
Solanum elaeagnifolium,147.6,-34.8
Solanum elaeagnifolium,147.6,-34.8
Solanum elaeagnifolium,147.6,-34.8
Solanum elaeagnifolium,147.6,-34.8
Solanum elaeagnifolium,147.6,-34.8
Solanum elaeagnifolium,147.6,-34.8
Solanum elaeagnifolium,147.6,-34.8
Solanum elaeagnifolium,148.2,-34.8
Solanum elaeagnifolium,138.68332,-34.78568
Solanum elaeagnifolium,138.68749,-34.78512
Solanum elaeagnifolium,138.69614,-34.78482
Solanum elaeagnifolium,138.69614,-34.78482
Solanum elaeagnifolium,138.69415,-34.78429
Solanum elaeagnifolium,138.68331,-34.78401
Solanum elaeagnifolium,138.68333,-34.78333
Solanum elaeagnifolium,138.69304,-34.78235
Solanum elaeagnifolium,138.68331,-34.78207
Solanum elaeagnifolium,138.68109,-34.78207
Solanum elaeagnifolium,138.67998,-34.78207
Solanum elaeagnifolium,138.67554,-34.78207
Solanum elaeagnifolium,138.68109,-34.78124
Solanum elaeagnifolium,138.6736,-34.78123
Solanum elaeagnifolium,138.6747,-34.78123
Solanum elaeagnifolium,138.69415,-34.78068
Solanum elaeagnifolium,138.6911,-34.78068
Solanum elaeagnifolium,138.67804,-34.78041
Solanum elaeagnifolium,138.68888,-34.7804
Solanum elaeagnifolium,138.67692,-34.7804
Solanum elaeagnifolium,138.67998,-34.7804
Solanum elaeagnifolium,138.67887,-34.7804
Solanum elaeagnifolium,138.68998,-34.7804
Solanum elaeagnifolium,138.67582,-34.78013
Solanum elaeagnifolium,138.6747,-34.78013
Solanum elaeagnifolium,138.68,-34.78
Solanum elaeagnifolium,138.68998,-34.77957
Solanum elaeagnifolium,138.67582,-34.77929
Solanum elaeagnifolium,138.67915,-34.77929
Solanum elaeagnifolium,138.67803,-34.77929
Solanum elaeagnifolium,138.69038,-34.77898
Solanum elaeagnifolium,138.68998,-34.77874
Solanum elaeagnifolium,138.69443,-34.77873
Solanum elaeagnifolium,138.67582,-34.77846
Solanum elaeagnifolium,138.68027,-34.77846
Solanum elaeagnifolium,138.67804,-34.77846
Solanum elaeagnifolium,138.67915,-34.77846
Solanum elaeagnifolium,138.67692,-34.77846
Solanum elaeagnifolium,138.67692,-34.77763
Solanum elaeagnifolium,138.68248,-34.77762
Solanum elaeagnifolium,138.68137,-34.77762
Solanum elaeagnifolium,138.67915,-34.77762
Solanum elaeagnifolium,138.67804,-34.77762
Solanum elaeagnifolium,138.68026,-34.77679
Solanum elaeagnifolium,138.67804,-34.77679
Solanum elaeagnifolium,138.67915,-34.77679
Solanum elaeagnifolium,138.68026,-34.77596
Solanum elaeagnifolium,138.68332,-34.77595
Solanum elaeagnifolium,138.67804,-34.77568
Solanum elaeagnifolium,138.67915,-34.77485
Solanum elaeagnifolium,138.69318,-34.7735
Solanum elaeagnifolium,145.26272,-34.76856003
Solanum elaeagnifolium,138.63333,-34.76667
Solanum elaeagnifolium,138.5863779,-34.76594521
Solanum elaeagnifolium,138.6410973,-34.76428476
Solanum elaeagnifolium,139.21446,-34.76022
Solanum elaeagnifolium,139.21272,-34.76001
Solanum elaeagnifolium,139.21275,-34.76
Solanum elaeagnifolium,139.21272,-34.75998
Solanum elaeagnifolium,139.21504,-34.75882
